protein	n
P06525	7
P09468	3
P0C7P7	2
P0C896	4
P0C8S1	1
P0CAN7	9
P0CB16	1
P0CJ46	1
P0CJ66	3
P0DH79	2
P0DH91	2
P0DH92	3
P0DH95	6
P0DH97	5
P0DI12	4
P0DI74	1
P0DI76	3
P0DI78	5
P0DKC5	2
P0DKI3	2
P0DKL4	4
P0DO24	2
P0DO44	3
P10795	3
P10796	5
P10797	2
P10896	1
P11139	2
P11574	7
P11832	4
P12411	2
P14671	3
P14712	4
P14713	2
P15455	3
P15456	1
P15457	5
P15458	2
P15459	1
P15460	3
P16181	1
P16972	4
P17094	1
P17597	1
P18064	3
P18616	3
P19366	3
P19456	7
P20115	1
P20431	3
P20649	6
P21216	2
P21238	2
P21240	1
P21276	1
P22738	1
P22953	2
P22954	3
P23321	3
P23586	7
P24100	5
P24101	1
P24636	1
P24704	6
P24806	3
P25071	1
P25697	3
P25702	3
P25851	3
P25853	2
P25855	2
P25856	2
P25857	1
P25863	1
P25873	1
P26568	4
P26569	3
P27140	6
P27202	1
P27323	2
P27521	2
P28186	2
P28187	1
P28188	1
P28297	1
P29197	3
P29402	3
P29513	3
P29515	3
P29516	2
P29517	2
P29525	2
P29976	1
P30184	8
P30185	1
P30186	2
P30224	3
P30302	5
P31166	5
P31168	3
P31169	3
P31265	8
P31414	1
P32069	3
P32826	2
P32961	6
P32962	2
P33207	2
P33543	2
P34047	1
P34066	4
P34788	1
P34791	4
P34795	2
P34802	1
P35510	2
P36212	3
P36397	1
P36428	7
P37107	1
P37271	3
P37702	2
P38418	1
P38420	5
P38421	3
P38557	2
P38558	1
P38605	2
P39207	6
P39697	4
P41088	4
P41376	2
P41377	2
P42036	2
P42158	1
P42643	6
P42644	6
P42645	5
P42697	4
P42698	3
P42699	2
P42730	1
P42731	7
P42732	1
P42733	2
P42734	7
P42737	7
P42742	2
P42744	2
P42748	4
P42750	1
P42758	4
P42759	6
P42760	1
P42761	5
P42762	1
P42763	6
P42791	1
P42798	1
P42799	3
P42801	2
P42814	8
P42825	5
P43255	3
P43286	4
P43287	5
P43291	1
P43292	4
P43296	4
P43298	6
P43299	2
P43333	3
P45432	4
P45434	2
P45724	1
P46010	3
P46032	1
P46077	8
P46086	2
P46248	3
P46283	2
P46309	1
P46310	1
P46416	5
P46421	9
P46422	3
P46645	4
P46690	4
P46864	1
P47192	2
P47996	2
P47998	4
P47999	1
P48000	2
P48006	4
P48347	8
P48348	7
P48349	2
P48421	2
P48482	2
P48483	3
P48491	8
P48523	2
P48578	1
P48622	2
P48623	2
P48641	4
P49077	1
P49078	2
P49107	4
P49177	4
P49205	1
P49227	1
P49572	2
P49599	2
P49688	1
P49689	2
P49691	1
P49692	1
P49693	5
P49967	2
P50287	8
P50318	2
P50546	1
P50699	2
P51407	2
P51412	2
P51414	1
P51418	4
P51419	6
P51422	5
P51424	2
P51818	2
P52032	2
P52410	1
P52420	3
P52577	4
P52839	4
P52901	8
P53494	1
P53496	1
P53799	1
P54121	1
P54144	2
P54150	2
P54609	2
P54873	1
P54887	4
P54888	3
P54904	1
P55034	8
P55228	3
P55229	1
P55737	2
P55852	4
P56753	4
P56754	1
P56757	2
P56759	2
P56760	1
P56761	2
P56762	3
P56763	1
P56765	2
P56766	1
P56767	1
P56772	6
P56773	1
P56774	3
P56777	3
P56778	4
P56779	4
P56780	2
P56785	2
P56788	3
P56794	4
P56796	3
P56801	1
P56802	2
P56805	1
P56807	2
P56808	1
P56820	2
P57106	6
P57691	1
P57720	2
P57741	4
P57742	4
P57750	3
P57751	6
P57752	4
P58728	2
P59220	2
P59223	2
P59226	3
P59230	1
P59231	4
P59259	3
P60039	1
P60838	1
P61837	3
P61843	1
P61845	2
P61847	1
P62090	3
P62126	1
P68209	3
P82266	3
P82281	1
P82538	4
P82658	3
P82869	2
P82873	1
P83291	2
P83755	4
P92557	1
P92935	3
P92939	1
P92947	3
P92948	7
P92958	2
P92963	2
P92964	1
P92965	4
P92966	1
P92974	4
P92976	4
P92980	2
P92981	1
P92985	1
P92994	3
P92996	2
P93004	6
P93008	6
P93025	3
P93028	6
P93031	8
P93033	1
P93042	2
P93043	2
P93046	1
P93047	4
P93303	1
P93654	2
P93655	4
P93732	2
P93736	2
P93755	6
P93819	7
P93832	3
P93834	3
P93836	2
P94040	1
P94072	1
P94078	1
P94088	4
P98204	4
PHPLC	1
PafA	6
Q01474	3
Q01525	7
Q01667	1
Q01908	2
Q02971	2
Q03250	1
Q04088	2
Q04613	2
Q04836	5
Q05153	7
Q05212	1
Q05431	6
Q05758	1
Q06327	2
Q06588	1
Q06611	4
Q06738	3
Q06850	4
Q06BH3	4
Q07099	4
Q07100	3
Q07356	1
Q07473	2
Q08298	2
Q08467	2
Q09152	7
Q0IGM5	1
Q0V7T5	1
Q0V869	5
Q0WL52	2
Q0WL80	4
Q0WLB5	5
Q0WLC6	1
Q0WLY0	4
Q0WM29	1
Q0WM93	2
Q0WML0	1
Q0WML1	6
Q0WMN5	1
Q0WMT6	1
Q0WN19	2
Q0WNJ6	3
Q0WNP8	1
Q0WNX3	1
Q0WNZ5	6
Q0WP12	7
Q0WPH8	1
Q0WPR4	2
Q0WPU1	1
Q0WQ57	1
Q0WQ75	1
Q0WQB7	4
Q0WQE7	5
Q0WQF4	2
Q0WQF7	8
Q0WQH3	3
Q0WQK2	3
Q0WR25	1
Q0WR59	3
Q0WRA3	3
Q0WRJ7	3
Q0WSF1	1
Q0WSY2	2
Q0WT48	2
Q0WTS1	1
Q0WUF6	1
Q0WUI9	3
Q0WUQ7	2
Q0WUR1	3
Q0WUY1	1
Q0WV37	1
Q0WV47	2
Q0WV78	1
Q0WV86	3
Q0WVD6	5
Q0WVE8	1
Q0WVF8	2
Q0WVH7	6
Q0WVL7	2
Q0WVM5	2
Q0WVN5	1
Q0WVR7	2
Q0WVX5	1
Q0WW21	6
Q0WW26	1
Q0WW53	1
Q0WW55	1
Q0WW94	2
