protein	species	construct	bait	replicate	intensity	batch
NbD000520.1	Nb	35S	LST8	1 MaxLFQ Intensity	-0.4164924434007581	R0563
NbD000520.1	Nb	35S	LST8	2 MaxLFQ Intensity	-0.44973659497094465	R0563
NbD000520.1	Nb	35S	LST8	3 MaxLFQ Intensity	-0.4120313627642871	R0563
NbD000520.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-0.4235060986435649	R0563
NbD000520.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-0.3809470780360531	R0563
NbD000520.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-0.5297256865633158	R0563
NbD000535.1	Nb	35S	GFP	1 MaxLFQ Intensity	-2.5328872471129666	R0563
NbD000535.1	Nb	35S	GFP	2 MaxLFQ Intensity	-2.6744794076807112	R0563
NbD000535.1	Nb	35S	GFP	3 MaxLFQ Intensity	-2.6558523444044284	R0563
NbD000535.1	Nb	35S	LST8	1 MaxLFQ Intensity	-2.3473352586211305	R0563
NbD000535.1	Nb	35S	LST8	2 MaxLFQ Intensity	-2.422533654918536	R0563
NbD000535.1	Nb	35S	LST8	3 MaxLFQ Intensity	-2.5021686370233267	R0563
NbD000535.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-2.815503489944544	R0563
NbD000535.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-2.5774137804309465	R0563
NbD000535.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-2.807504064914864	R0563
NbD000537.1	Nb	35S	GFP	1 MaxLFQ Intensity	-0.9910586695855592	R0563
NbD000537.1	Nb	35S	GFP	2 MaxLFQ Intensity	-0.6568321911323256	R0563
NbD000537.1	Nb	35S	GFP	3 MaxLFQ Intensity	-0.9237477071195386	R0563
NbD000537.1	Nb	35S	LST8	1 MaxLFQ Intensity	-0.422467451294148	R0563
NbD000537.1	Nb	35S	LST8	2 MaxLFQ Intensity	-0.56354985804664	R0563
NbD000537.1	Nb	35S	LST8	3 MaxLFQ Intensity	-0.6469278365335409	R0563
NbD000537.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-0.6129279426092751	R0563
NbD000537.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-0.6028962920943854	R0563
NbD000537.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-0.6812072735807959	R0563
NbD000553.1	Nb	35S	GFP	1 MaxLFQ Intensity	-0.6918945623338347	R0563
NbD000553.1	Nb	35S	GFP	2 MaxLFQ Intensity	-0.285273531095773	R0563
NbD000553.1	Nb	35S	GFP	3 MaxLFQ Intensity	-0.4014417150576711	R0563
NbD000553.1	Nb	35S	LST8	1 MaxLFQ Intensity	0.13036069259696006	R0563
NbD000553.1	Nb	35S	LST8	2 MaxLFQ Intensity	0.014053788449242058	R0563
NbD000553.1	Nb	35S	LST8	3 MaxLFQ Intensity	0.07835744910786327	R0563
NbD000553.1	Nb	35S	RAPTOR	1 MaxLFQ Intensity	-2.7398819291758505	R0563
NbD000553.1	Nb	35S	RAPTOR	2 MaxLFQ Intensity	-2.7184359610568944	R0563
NbD000553.1	Nb	35S	RAPTOR	3 MaxLFQ Intensity	-2.7196452373186224	R0563
NbD000560.1	Nb	35S	GFP	1 MaxLFQ Intensity	-0.9179586564106648	R0563
NbD000560.1	Nb	35S	GFP	2 MaxLFQ Intensity	-0.8231680716644209	R0563
NbD000560.1	Nb	35S	GFP	3 MaxLFQ Intensity	-0.8953183412280842	R0563
NbD000560.1	Nb	35S	LST8	1 MaxLFQ Intensity	-0.36878006601356644	R0563
NbD000560.1	Nb	35S	LST8	2 MaxLFQ Intensity	-0.2662200583478357	R0563
